feat,type,minimum,maximum
RuleAnaphoricReferences,bad,-Inf,0
RuleAnaphoricReferences,medium,0,6.590662323561346e-4
RuleAnaphoricReferences,good,6.590662323561346e-4,Inf
RuleCaseRepetition.max_repetition_count,good,-Inf,1.5703057970310652
RuleCaseRepetition.max_repetition_count,medium,1.5703057970310652,1.7050527348540592
RuleCaseRepetition.max_repetition_count,bad,1.7050527348540592,Inf
RuleCaseRepetition.max_repetition_count.v,good,-Inf,0.6405476708218046
RuleCaseRepetition.max_repetition_count.v,medium,0.6405476708218046,0.7203200445623152
RuleCaseRepetition.max_repetition_count.v,bad,0.7203200445623152,Inf
RuleConfirmationExpressions,bad,-Inf,0
RuleConfirmationExpressions,medium,0,0
RuleConfirmationExpressions,good,0,Inf
RuleDoubleAdpos,good,-Inf,0.003387318839410244
RuleDoubleAdpos,medium,0.003387318839410244,0.0065454222744493204
RuleDoubleAdpos,bad,0.0065454222744493204,Inf
RuleGPadjective,bad,-Inf,0
RuleGPadjective,medium,0,0
RuleGPadjective,good,0,Inf
RuleGPcoordovs,good,-Inf,0
RuleGPcoordovs,medium,0,0
RuleGPcoordovs,bad,0,Inf
RuleGPdeverbaddr,good,-Inf,0
RuleGPdeverbaddr,medium,0,0
RuleGPdeverbaddr,bad,0,Inf
RuleGPdeverbsubj,good,-Inf,0
RuleGPdeverbsubj,medium,0,0
RuleGPdeverbsubj,bad,0,Inf
RuleGPpatbenperson,good,-Inf,0
RuleGPpatbenperson,medium,0,0
RuleGPpatbenperson,bad,0,Inf
RuleGPpatinstr,good,-Inf,0
RuleGPpatinstr,medium,0,3.6871426965346635e-4
RuleGPpatinstr,bad,3.6871426965346635e-4,Inf
RuleGPwordorder,good,-Inf,0
RuleGPwordorder,medium,0,0.0018570502386404393
RuleGPwordorder,bad,0.0018570502386404393,Inf
RuleInfVerbDistance,bad,-Inf,0.2406896551724138
RuleInfVerbDistance,medium,0.2406896551724138,0.37081839904420544
RuleInfVerbDistance,good,0.37081839904420544,Inf
RuleInfVerbDistance.max_distance,bad,-Inf,2
RuleInfVerbDistance.max_distance,medium,2,2.6310068649885583
RuleInfVerbDistance.max_distance,good,2.6310068649885583,Inf
RuleLiteraryStyle,good,-Inf,0.002924096276081486
RuleLiteraryStyle,medium,0.002924096276081486,0.005178975350842947
RuleLiteraryStyle,bad,0.005178975350842947,Inf
RuleLongSentences.max_length,good,-Inf,16.559893617021274
